Experiment CUSExperiment_Hetero
Sweep across services proximity importance, using heterogeneous agents..
Experiment started 2015-04-21 174913

######################################################
Experiment Defaults:
                        setHeterogeneity :,  	True
Experiment Parameter Variations:
                            setAgentType :,  	[0, 1, 2]
                   setServicesImportance :,  	[0.0, 0.2, 0.4, 0.6000000000000001, 0.8, 1.0, 1.2000000000000002, 1.4000000000000001, 1.6, 1.8, 2.0]
######################################################
*********************Job Settings*********************
                            setAgentType :	,0
                   setServicesImportance :	,0.0
 timestamp, job ID, setAgentType, setServicesImportance, packing, reduction
 2015-04-21 175642, 4,                    0,   0.6000000000000001,0.6012,0.1915
 2015-04-21 175646, 4,                    0,   0.6000000000000001,0.6252,0.1835
 2015-04-21 175651, 4,                    0,   0.6000000000000001,0.6079,0.1881
 2015-04-21 175655, 4,                    0,   0.6000000000000001,0.6297,0.1892
 2015-04-21 175700, 4,                    0,   0.6000000000000001,0.5356,0.1946
 2015-04-21 175704, 4,                    0,   0.6000000000000001,0.5151,0.1944
 2015-04-21 175709, 4,                    0,   0.6000000000000001,0.6015,0.1911
 2015-04-21 175714, 4,                    0,   0.6000000000000001,0.6634,0.1852
 2015-04-21 175718, 4,                    0,   0.6000000000000001,0.5963,0.1899
 2015-04-21 175723, 4,                    0,   0.6000000000000001,0.6196,0.1849
 2015-04-21 175727, 4,                    0,   0.6000000000000001,0.6265,0.1850
 2015-04-21 175732, 4,                    0,   0.6000000000000001,0.6361,0.1850
 2015-04-21 175736, 4,                    0,   0.6000000000000001,0.6545,0.1808
 2015-04-21 175741, 4,                    0,   0.6000000000000001,0.5342,0.1977
 2015-04-21 175745, 4,                    0,   0.6000000000000001,0.4411,0.2075
 2015-04-21 175750, 4,                    0,   0.6000000000000001,0.6208,0.1858
 2015-04-21 175754, 4,                    0,   0.6000000000000001,0.5515,0.1935
 2015-04-21 175759, 4,                    0,   0.6000000000000001,0.5980,0.1849
 2015-04-21 175803, 4,                    0,   0.6000000000000001,0.5748,0.1893
 2015-04-21 175810, 4,                    0,   0.6000000000000001,0.5646,0.1892
 2015-04-21 175814, 4,                    0,   0.6000000000000001,0.6606,0.1851
averages: ,,                    0,   0.6000000000000001,0.5947,0.1892
standard deviations: ,,                    0,   0.6000000000000001,0.0539,0.0058
*********************Job Settings*********************
                            setAgentType :	,0
                   setServicesImportance :	,0.8
 timestamp, job ID, setAgentType, setServicesImportance, packing, reduction
 2015-04-21 175819, 5,                    0,                  0.8,0.6839,0.1769
 2015-04-21 175823, 5,                    0,                  0.8,0.7042,0.1772
 2015-04-21 175828, 5,                    0,                  0.8,0.5861,0.1887
 2015-04-21 175833, 5,                    0,                  0.8,0.6629,0.1836
 2015-04-21 175837, 5,                    0,                  0.8,0.6327,0.1855
 2015-04-21 175842, 5,                    0,                  0.8,0.7191,0.1745
 2015-04-21 175847, 5,                    0,                  0.8,0.6200,0.1874
 2015-04-21 175851, 5,                    0,                  0.8,0.6978,0.1777
 2015-04-21 175856, 5,                    0,                  0.8,0.6634,0.1806
 2015-04-21 175901, 5,                    0,                  0.8,0.5923,0.1890
 2015-04-21 175905, 5,                    0,                  0.8,0.7002,0.1746
 2015-04-21 175910, 5,                    0,                  0.8,0.7176,0.1728
 2015-04-21 175915, 5,                    0,                  0.8,0.6859,0.1784
 2015-04-21 175920, 5,                    0,                  0.8,0.7158,0.1758
 2015-04-21 175924, 5,                    0,                  0.8,0.6502,0.1834
 2015-04-21 175929, 5,                    0,                  0.8,0.6926,0.1802
 2015-04-21 175933, 5,                    0,                  0.8,0.6995,0.1808
 2015-04-21 175938, 5,                    0,                  0.8,0.6215,0.1883
 2015-04-21 175942, 5,                    0,                  0.8,0.6770,0.1784
 2015-04-21 175947, 5,                    0,                  0.8,0.4557,0.2008
 2015-04-21 175951, 5,                    0,                  0.8,0.6921,0.1803
 2015-04-21 175956, 5,                    0,                  0.8,0.6869,0.1800
 2015-04-21 180000, 5,                    0,                  0.8,0.7295,0.1762
 2015-04-21 180005, 5,                    0,                  0.8,0.6978,0.1786
 2015-04-21 180010, 5,                    0,                  0.8,0.7181,0.1718
 2015-04-21 180014, 5,                    0,                  0.8,0.6933,0.1790
 2015-04-21 180019, 5,                    0,                  0.8,0.7384,0.1754
 2015-04-21 180023, 5,                    0,                  0.8,0.7230,0.1751
 2015-04-21 180028, 5,                    0,                  0.8,0.6978,0.1785
 2015-04-21 180032, 5,                    0,                  0.8,0.6728,0.1792
averages: ,,                    0,                  0.8,0.6743,0.1803
standard deviations: ,,                    0,                  0.8,0.0556,0.0059
*********************Job Settings*********************
                            setAgentType :	,0
                   setServicesImportance :	,1.0
 timestamp, job ID, setAgentType, setServicesImportance, packing, reduction
 2015-04-21 180037, 6,                    0,                  1.0,0.7532,0.1687
 2015-04-21 180041, 6,                    0,                  1.0,0.7530,0.1690
 2015-04-21 180046, 6,                    0,                  1.0,0.7005,0.1739
 2015-04-21 180050, 6,                    0,                  1.0,0.7619,0.1676
 2015-04-21 180055, 6,                    0,                  1.0,0.7302,0.1746
 2015-04-21 180059, 6,                    0,                  1.0,0.7735,0.1674
 2015-04-21 180104, 6,                    0,                  1.0,0.7601,0.1722
 2015-04-21 180108, 6,                    0,                  1.0,0.7579,0.1746
 2015-04-21 180112, 6,                    0,                  1.0,0.7671,0.1678
 2015-04-21 180117, 6,                    0,                  1.0,0.7688,0.1670
 2015-04-21 180121, 6,                    0,                  1.0,0.7401,0.1717
 2015-04-21 180126, 6,                    0,                  1.0,0.7624,0.1708
 2015-04-21 180130, 6,                    0,                  1.0,0.7574,0.1710
 2015-04-21 180136, 6,                    0,                  1.0,0.7413,0.1735
 2015-04-21 180141, 6,                    0,                  1.0,0.7552,0.1738
 2015-04-21 180145, 6,                    0,                  1.0,0.7300,0.1738
 2015-04-21 180150, 6,                    0,                  1.0,0.6577,0.1832
 2015-04-21 180155, 6,                    0,                  1.0,0.7530,0.1682
 2015-04-21 180159, 6,                    0,                  1.0,0.6985,0.1760
 2015-04-21 180204, 6,                    0,                  1.0,0.6619,0.1767
 2015-04-21 180208, 6,                    0,                  1.0,0.7535,0.1748
 2015-04-21 180213, 6,                    0,                  1.0,0.7552,0.1677
 2015-04-21 180218, 6,                    0,                  1.0,0.7423,0.1698
 2015-04-21 180223, 6,                    0,                  1.0,0.7738,0.1688
 2015-04-21 180228, 6,                    0,                  1.0,0.6933,0.1764
 2015-04-21 180233, 6,                    0,                  1.0,0.7854,0.1689
 2015-04-21 180237, 6,                    0,                  1.0,0.7329,0.1724
 2015-04-21 180242, 6,                    0,                  1.0,0.7673,0.1688
 2015-04-21 180247, 6,                    0,                  1.0,0.7453,0.1706
 2015-04-21 180252, 6,                    0,                  1.0,0.7725,0.1685
averages: ,,                    0,                  1.0,0.7435,0.1716
standard deviations: ,,                    0,                  1.0,0.0312,0.0036
*********************Job Settings*********************
                            setAgentType :	,0
                   setServicesImportance :	,1.2000000000000002
 timestamp, job ID, setAgentType, setServicesImportance, packing, reduction
 2015-04-21 180256, 7,                    0,   1.2000000000000002,0.7950,0.1631
 2015-04-21 180301, 7,                    0,   1.2000000000000002,0.7963,0.1663
 2015-04-21 180306, 7,                    0,   1.2000000000000002,0.7958,0.1644
 2015-04-21 180310, 7,                    0,   1.2000000000000002,0.7980,0.1643
 2015-04-21 180315, 7,                    0,   1.2000000000000002,0.8092,0.1625
 2015-04-21 180319, 7,                    0,   1.2000000000000002,0.7978,0.1677
 2015-04-21 180324, 7,                    0,   1.2000000000000002,0.7847,0.1682
 2015-04-21 180328, 7,                    0,   1.2000000000000002,0.8002,0.1623
 2015-04-21 180333, 7,                    0,   1.2000000000000002,0.8015,0.1667
