Experiment CUSExperiment_Main
Sweep across services proximity importance.
Experiment started 2015-04-20 022217

######################################################
Experiment Defaults:
                        setHeterogeneity :,  	False
Experiment Parameter Variations:
                            setAgentType :,  	[0, 1]
                   setServicesImportance :,  	[0.0, 0.2, 0.4, 0.6000000000000001, 0.8, 1.0, 1.2000000000000002, 1.4000000000000001, 1.6, 1.8, 2.0]
######################################################
*********************Job Settings*********************
                            setAgentType :	,0
                   setServicesImportance :	,0.0
 timestamp, job ID, setAgentType, setServicesImportance, packing, reduction
 2015-04-20 023030, 4,                    0,   0.6000000000000001,0.7139,0.1697
 2015-04-20 023035, 4,                    0,   0.6000000000000001,0.6700,0.1782
 2015-04-20 023039, 4,                    0,   0.6000000000000001,0.7020,0.1778
 2015-04-20 023043, 4,                    0,   0.6000000000000001,0.6837,0.1771
 2015-04-20 023048, 4,                    0,   0.6000000000000001,0.6082,0.1878
 2015-04-20 023052, 4,                    0,   0.6000000000000001,0.7196,0.1689
 2015-04-20 023057, 4,                    0,   0.6000000000000001,0.6943,0.1773
averages: ,,                    0,   0.6000000000000001,0.6945,0.1753
standard deviations: ,,                    0,   0.6000000000000001,0.0310,0.0041
*********************Job Settings*********************
                            setAgentType :	,0
                   setServicesImportance :	,0.8
 timestamp, job ID, setAgentType, setServicesImportance, packing, reduction
 2015-04-20 023101, 5,                    0,                  0.8,0.7936,0.1657
 2015-04-20 023106, 5,                    0,                  0.8,0.7990,0.1644
 2015-04-20 023110, 5,                    0,                  0.8,0.7960,0.1614
 2015-04-20 023114, 5,                    0,                  0.8,0.7968,0.1625
 2015-04-20 023119, 5,                    0,                  0.8,0.7876,0.1646
 2015-04-20 023123, 5,                    0,                  0.8,0.7569,0.1694
 2015-04-20 023127, 5,                    0,                  0.8,0.7923,0.1658
 2015-04-20 023132, 5,                    0,                  0.8,0.7918,0.1660
 2015-04-20 023136, 5,                    0,                  0.8,0.7916,0.1646
 2015-04-20 023141, 5,                    0,                  0.8,0.8040,0.1604
 2015-04-20 023145, 5,                    0,                  0.8,0.8124,0.1674
 2015-04-20 023149, 5,                    0,                  0.8,0.7953,0.1640
 2015-04-20 023154, 5,                    0,                  0.8,0.8099,0.1644
 2015-04-20 023158, 5,                    0,                  0.8,0.7950,0.1671
 2015-04-20 023202, 5,                    0,                  0.8,0.7814,0.1674
 2015-04-20 023207, 5,                    0,                  0.8,0.7686,0.1667
